reference,titre,acheteur,type_acheteur,type_marche,procedure_source,procedure_consolidee,procedure_regime,montant_estime,date_limite_remise_offres,url_marche,fichier_source_html,conflit_coherence,motif_conflit
3/boamp/2644098,"Prestations de conseil, de collecte, de développement, d'exploitation de données pour le Data Office",Organisation qui passe un marché subventionné par un pouvoir adjudicateur,inconnu,services,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,,2026-06-03 16:00:00,https://www.francemarches.com/appel-offre/3boamp2644098-2026-prestations-conseil-collecte,3boamp2644098-2026-prestations-conseil-collecte.html,non,
3/boamp/2644226,"Assistance à maîtrise d'oeuvre : prestations d'expertise, de développements informatiques et d'assistance technique",INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,etablissement_public,services,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,2000000 EUR,2026-06-04 00:00:00,https://www.francemarches.com/appel-offre/3boamp2644226-2026-assistance-maitrise-oeuvre,3boamp2644226-2026-assistance-maitrise-oeuvre.html,non,
3/boamp/2644837,TMA - TME DU SYSTEME D'INFORMATION DU DPSM,Bureau de Recherche en Géologie Minière (BRGM),etablissement_public,services,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,,2026-06-05 12:00:00,https://www.francemarches.com/appel-offre/3boamp2644837-2026-systeme-information-dpsm,3boamp2644837-2026-systeme-information-dpsm.html,non,
A2026-018,Fourniture d'une solution de gestion pédagogique des doctorants,EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot;,etablissement_public,,INCONNUE,INDETERMINE,marches_ordinaires,,2026-06-12 12:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2986378?orgAcronyme=f2h,2986378?orgAcronyme=f2h.html,non,
AOO_2026-02,Assistance à maîtrise d’ouvrage pour la conception et la passation de marchés publics de développement d’outils de gestion et de visualisation de données sur l’eau sur le bassin versant Marais poitevin,"Ministère de la Transition Écologique, Ministère de la Cohésion des Territoires, Ministère de la Mer",etat,services,INCONNUE,INDETERMINE,marches_ordinaires,,2026-06-22 12:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2992873?orgAcronyme=d4t,2992873?orgAcronyme=d4t.html,non,
B26-01107-LS,Prestations de tierce maintenance applicative (TMA) des Logiciels Systèmes Energétiques du CEA Liten,AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,etablissement_public,services,INCONNUE,INDETERMINE,marches_ordinaires,,2026-06-10 16:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2997383?orgAcronyme=s2d,2997383?orgAcronyme=s2d.html,non,
DAF_2025_001001,Prestations d’assistance et d’expertise pour migration et déploiement des SI vers le cloud au profit du Centre Spécialisé Cloud du MINARM (référence interne DAF).,"Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM, France entière.",etat,services,MAPA,FORMALISEE_REQUISE,defense_securite,18.02 M€ HT,26/05/2026,https://www.francemarches.com/appel-offre/37ao26181581260520263294-2026-prestations-assistance-expertise,37ao26181581260520263294-2026-prestations-assistance-expertise.html,oui,"Montant 18.02 M€ HT très supérieur au seuil défense 443,000 € HT (ratio ×40.68) ; MAPA incompatible avec régime défense"
DGFIP-DRS-2500077,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l’information et de la communication.,Direction Générale des Finances Publiques,etat,services,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,400000 EUR,2026-06-04 17:00:00,,26-41049.html,non,
MO-9589316,Infogérance du système d'information de l'INSEAMM.,ESADMM,etablissement_public,services,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-05-29 00:00:00,https://www.marchesonline.com/appels-offres/avis/infogerance-du-systeme-d-information-de-l-inseamm/ao-9589316-1,ao-9589316-1.html,non,
MO-9591946,Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM,MINDEF/DIRISI/Bureau Marchés.,etat,services,MAPA,FORMALISEE_REQUISE,defense_securite,18025000 EUR,2026-05-26 00:00:00,https://www.marchesonline.com/appels-offres/avis/prestations-d-assistance-et-d-expertise-pour-la-migrati/ao-9591946-1,ao-9591946-1.html,oui,"Montant 18.02 M€ HT très supérieur au seuil défense 443,000 € HT (ratio ×40.69) ; MAPA incompatible avec régime défense"
MO-9592936,"Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités.",Gaz Electricité de Grenoble,inconnu,services,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-05-26 00:00:00,https://www.marchesonline.com/appels-offres/avis/fourniture-mise-en-oeuvre-d-un-security-operation-cent/ao-9592936-1,ao-9592936-1.html,non,
MO-9595379,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,Ville de Paris,collectivite_territoriale,,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-06-09 00:00:00,https://www.marchesonline.com/appels-offres/avis/maintien-en-condition-operationnelle-et-l-accompagneme/ao-9595379-1,ao-9595379-1.html,non,
MO-9595420,Tierce maintenance d'exploitation et de services des agences de l'eau.,Agence de l'Eau Seine Normandie,etablissement_public,,MAPA,FORMALISEE_REQUISE,marches_ordinaires,25000000 EUR,2026-05-26 00:00:00,https://www.marchesonline.com/appels-offres/avis/tierce-maintenance-d-exploitation-et-de-services-des-ag/ao-9595420-1,ao-9595420-1.html,oui,"Montant 25.00 M€ HT supérieur au seuil formalisé 216,000 € HT (ratio ×115.74), incompatible avec MAPA"
MO-9596025,Prestations de services informatiques pour le développement et la maintenance des outils informatiques.,GCS UNIHA,etablissement_public,services,MAPA,FORMALISEE_REQUISE,marches_ordinaires,900000 EUR,2026-06-02 00:00:00,https://www.marchesonline.com/appels-offres/avis/prestations-de-services-informatiques-pour-le-developp/ao-9596025-2,ao-9596025-2.html,oui,"Montant 900 000 € HT supérieur au seuil formalisé 216,000 € HT (ratio ×4.17), incompatible avec MAPA"
MO-9596601,"Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité.",SPL SEMEA,collectivite_territoriale,services,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-06-02 00:00:00,https://www.marchesonline.com/appels-offres/avis/fourniture-et-integration-de-materiels-et-logiciels-i/ao-9596601-1,ao-9596601-1.html,non,
MO-9596814,Prestations logicielles relatives aux automates industriels pour SOLEIL II.,Synchrotron Soleil,etablissement_public,services,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-06-01 00:00:00,https://www.marchesonline.com/appels-offres/avis/prestations-logicielles-relatives-aux-automates-industr/ao-9596814-1,ao-9596814-1.html,non,
MO-9596821,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées.,SICIO,inconnu,fournitures,MAPA,FORMALISEE_REQUISE,marches_ordinaires,800000 EUR,2026-06-04 00:00:00,https://www.marchesonline.com/appels-offres/avis/renouvellement-et-maintenance-des-serveurs-de-sauvegard/ao-9596821-1,ao-9596821-1.html,oui,"Montant 800 000 € HT supérieur au seuil formalisé 216,000 € HT (ratio ×3.7), incompatible avec MAPA"
MO-9597280,"Fourniture, mise en oeuvre et maintien en condition opérationnelle de l'infrastructure informatique de CMC.",Centre Morbihan Communauté,collectivite_territoriale,services,MAPA,FORMALISEE_REQUISE,marches_ordinaires,450000 EUR,2026-06-02 00:00:00,https://www.marchesonline.com/appels-offres/avis/fourniture-mise-en-oeuvre-et-maintien-en-condition-op/ao-9597280-1,ao-9597280-1.html,oui,"Montant 450 000 € HT supérieur au seuil formalisé 216,000 € HT (ratio ×2.08), incompatible avec MAPA"
MO-9597894,"Renouvellement du système d'information, virtualisation de serveurs, plateforme de stockage et système de sauvegarde",Le Muretain Agglo,collectivite_territoriale,services,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-06-02 00:00:00,https://www.marchesonline.com/appels-offres/avis/renouvellement-du-systeme-d-information-virtualisatio/ao-9597894-1,ao-9597894-1.html,non,
MO-9598475,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),Compagnie Nationale du Rhône,inconnu,services,MAPA,FORMALISEE_REQUISE,marches_ordinaires,"5000000,00 EUR",2026-06-10 00:00:00,https://www.marchesonline.com/appels-offres/avis/accord-cadre-infrastructure-hyperconvergee-et-vdi-vir/ao-9598475-1,ao-9598475-1.html,oui,"Montant 5.00 M€ HT supérieur au seuil formalisé 216,000 € HT (ratio ×23.15), incompatible avec MAPA"
MO-9599071,"Prestations de support, infogérance et supervision pour les Services Numériques Éducatifs, et pour les environnements de travail, Data Centers, Infrastructures, Réseaux, Pare-Feux et Téléphonie de la Région Grand-Est, ainsi que de stockage ...",Région Grand Est,collectivite_territoriale,services,MAPA,FORMALISEE_REQUISE,marches_ordinaires,6500000 EUR,2026-06-18 00:00:00,https://www.marchesonline.com/appels-offres/avis/prestations-de-support-infogerance-et-supervision-pou/ao-9599071-1,ao-9599071-1.html,oui,"Montant 6.50 M€ HT supérieur au seuil formalisé 216,000 € HT (ratio ×30.09), incompatible avec MAPA"
MO-9599869,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre.",GHT de la Nièvre - Centre hospitalier Pierre Beregovoy,etablissement_public,fournitures,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-06-05 00:00:00,https://www.marchesonline.com/appels-offres/avis/maintien-en-condition-operationnelle-de-l-infrastructu/ao-9599869-1,ao-9599869-1.html,non,
RFI_CRM_2026-02,"RFI ""Outil de connaissance et de gestion des relations extérieures du CNRS""",EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,etablissement_public,,INCONNUE,INDETERMINE,marches_ordinaires,,2026-06-15 12:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2998043?orgAcronyme=f2h,2998043?orgAcronyme=f2h.html,non,
Shom_26AC07,Maintien en conditions opérationnelles et de sécurité du Digital Workplace Odyssée du Shom,MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine,etablissement_public,services,INCONNUE,INDETERMINE,marches_ordinaires,,2026-06-18 09:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2956468?orgAcronyme=g7h,2956468?orgAcronyme=g7h.html,non,
