reference,titre,acheteur,type_acheteur,fonction_publique,sous_type_fonction_publique,procedure_label,procedure_type,type_marche,ccag_type,cpv_principal,cpv_secondaires,localisation,date_limite_remise_offres,duree,renouvellements,montant_estime,url_marche,url_provenance,fichier_source_html,plateforme_source,verification_requise,raisons_verification,notes_verification
3/boamp/2641049,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l'information et de la communication,Direction Générale des Finances Publiques,etat,etat,,,formalisee,services,prestations_intellectuelles,72220000,72220000,,,,,,https://www.francemarches.com/appel-offre/3boamp2641049-2026-assistance-externe-pour,canonical,3boamp2641049-2026-assistance-externe-pour.html,FRANCE_MARCHES,false,,
3/boamp/2641974,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,VILLE de PARIS - DFA - SDA,collectivite_territoriale,territoriale,,,formalisee,,,72250000,72250000|79999100|72311100|79995200|60181000|45510000|79952000|22112000|30237380|22111000,,,,,,https://www.francemarches.com/appel-offre/3boamp2641974-2026-maintien-condition-operationnelle,canonical,3boamp2641974-2026-maintien-condition-operationnelle.html,FRANCE_MARCHES,false,,
3/boamp/2642071,ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJETS DATA \\\/ INGENIERIE D'EXPERTISE DATA AU SEIN DE LA DIRECTION DU SYSTEME D'INFORMATION DE LA REGION NOUVELLE-AQUITAINE,Région Nouvelle-Aquitaine,etat,etat,,,formalisee,services,travaux,72220000,72220000|45421000,,,,,,https://www.francemarches.com/appel-offre/3boamp2642071-2026-assistance-ingenierie-coordination,canonical,3boamp2642071-2026-assistance-ingenierie-coordination.html,FRANCE_MARCHES,false,,
3/boamp/2642106,Acquisition et mise en œuvre d'une solution ERP en mode SaaS avec site web marchand et application mobile,Association ASF Vacances,inconnu,inconnue,,,formalisee,,,72000000,72000000,,,,,,https://www.francemarches.com/appel-offre/3boamp2642106-2026-acquisition-mise-oeuvre,canonical,3boamp2642106-2026-acquisition-mise-oeuvre.html,FRANCE_MARCHES,false,,
3/boamp/2642682,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,SICIO,inconnu,inconnue,,,formalisee,fournitures,,72250000,72250000,,,,,,https://www.francemarches.com/appel-offre/3boamp2642682-2026-renouvellement-maintenance-serveurs,canonical,3boamp2642682-2026-renouvellement-maintenance-serveurs.html,FRANCE_MARCHES,false,,
3/boamp/2643374,REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE - HEBERGEMENT - MAINTENANCE,ACADEMIE FRANCAISE,inconnu,inconnue,,,MAPA,services,tic,72000000,72000000,,,,,,https://www.francemarches.com/appel-offre/3boamp2643374-2026-refonte-site-internet,canonical,3boamp2643374-2026-refonte-site-internet.html,FRANCE_MARCHES,false,,
3/boamp/2643609,Prestations de services informatiques pour le développement et la maintenance des outils informatiques du GCS UniHA,GCS-UNIHA,inconnu,inconnue,,,formalisee,,,72200000,72200000|72261000|72262000,,,,,,https://www.francemarches.com/appel-offre/3boamp2643609-2026-prestations-services-informatiques,canonical,3boamp2643609-2026-prestations-services-informatiques.html,FRANCE_MARCHES,false,,
3/boamp/2644098,"Prestations de conseil, de collecte, de développement, d'exploitation de données pour le Data Office",Organisation qui passe un marché subventionné par un pouvoir adjudicateur,inconnu,inconnue,,,formalisee,services,prestations_intellectuelles,72600000,72600000,,,,,,https://www.francemarches.com/appel-offre/3boamp2644098-2026-prestations-conseil-collecte,canonical,3boamp2644098-2026-prestations-conseil-collecte.html,FRANCE_MARCHES,false,,
3/boamp/2644226,"Assistance à maîtrise d'oeuvre : prestations d'expertise, de développements informatiques et d'assistance technique",INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,etat,etat,,,formalisee,services,prestations_intellectuelles,72500000,72500000,,,,,,https://www.francemarches.com/appel-offre/3boamp2644226-2026-assistance-maitrise-oeuvre,canonical,3boamp2644226-2026-assistance-maitrise-oeuvre.html,FRANCE_MARCHES,false,,
3/boamp/2644837,TMA - TME DU SYSTEME D'INFORMATION DU DPSM,Bureau de Recherche en Géologie Minière (BRGM),inconnu,inconnue,,,formalisee,services,,72610000,72610000,,,,,,https://www.francemarches.com/appel-offre/3boamp2644837-2026-systeme-information-dpsm,canonical,3boamp2644837-2026-systeme-information-dpsm.html,FRANCE_MARCHES,false,,
